O3,PM10,PM2.5,PM2.5Diff,DayWeek,Hour,PRS,RAINF,RH,SR,TOUT,WSR,WDV,CONT
5,98,38,33,7,5,717.7,0,91,0,23.5,2.8,17,0
6,171,32,8,4,23,722.4,0,63,0,16.46,3.4,74,0
12,26,19,14,6,20,729.8,0,88,0,5.23,9.1,355,0
20,87,28,1,6,20,719.6,0,78,0,23.7,8.7,122,0
6,77,25,16,2,6,726.2,0,51,0,13.11,1.1,257,0
12,349,39,21,2,10,723,0,51,0.193,18.48,3.1,158,0
41,71,27,10,6,12,720.2,0,45,0.888999999,33.28,6.8,110,0
11,29,8,1,4,6,719.8,0,85,0.022,22.35,6.6,125,0
54,60,26,5,7,14,718.1,0,42,0.709,34.09,8.2,92,0
7,51,18,4,1,6,717.7,0.13,96,0,19.06,5.5,221,0
42,90,11,27,7,17,720.2,0,39,0.215,27.19,13.5,108,0
45,80,39,18,1,14,716.5,0,44,0.804,34.73,12.6,94,0
7,66,35,20,1,19,720.2,0.01,82,0,17.83,5.1,218,0
16,138,38,6,2,22,716.8,0,69,0,29.45,11,96,0
9,105,22,9,2,19,716.3,0,71,0,19.49,6.6,87,0
16,93,38,16,6,20,715.7,0,76,0,26.02,5.3,107,0
15,13,5,4,1,8,719.5,0,78,0.369,26.94,4.2,302,0
18,62,7,2,3,2,719.9,0,93,0,19.21,6.6,94,0
16,75,16,7,1,2,718.1,0,81,0,24.06,3.3,5,0
4,64,10,2,7,5,723.4,0,57,0,12.9,3.9,319,0
51,84,33,4,2,15,715.3,0,41,0.699000001,35.83,14,114,0
8,61,6,17,1,5,720.9,0,80,0,15.03,3.5,322,0
7,54,9,3,6,6,720.3,0,86,0.016000001,21.4,3.9,37,0
9,68,24,5,6,4,720.6,0,78,0,24.29,2.6,44,0
34,62,15,1,7,16,725.7,0,54,0.08,13.36,10.2,120,0
19,86,22,10,3,8,721.1,0.11,91,0.203,18.62,12.4,1,0
33,43,10,2,1,11,719.1,0,84,0.586,19.55,8.2,112,0
16,36,18,9,2,4,718.2,0,88,0.002,22.3,3.3,18,0
51,117,19,8,6,18,722.7,0,28,0.038,23.85,11.7,114,0
14,79,24,3,7,8,728.5,0,70,0.093,6.98,7.2,114,0
12,82,28,5,4,8,717,0,86,0.164,24.19,6,108,0
16,64,27,17,4,9,720.4,0,79,0.257999986,24.77,7,31,0
23,30,15,2,2,5,733.2,0,76,0,8.04,5.6,88,0
58,50,22,11,1,12,719.7,0,48,0.77,30.5,6.1,73,0
68,60,21,16,1,12,717.8,0,37,0.889,33,8.3,112,0
31,53,22,7,3,0,717.9,0,70,0.001,25.48,12.9,85,0
7,87,12,4,6,7,721,0,75,0.098999999,26.42,2.5,22,0
7,51,10,1,1,4,714.6,0,94,0.049,19.86,4.1,319,0
22,39,14,9,1,9,721,0,76,0.233,25.65,6.3,14,0
43,115,11,0,2,7,713.5,0,28,0.169,22.99,15.7,323,0
5,94,40,16,6,7,724.8,0,88,0.002,5.86,3,294,0
47,60,19,9,2,10,717.6,0,56,0.706,31.32,6.1,87,0
4,56,19,14,1,0,723.3,0.01,94,0,8.16,3.7,104,0
5,108,26,12,5,6,719.6,0,94,0.04,21.51,5.1,80,0
9,89,19,6,2,8,733.9,0,79,0.035,7.21,5.4,101,0
6,174,20,16,5,7,715.8,0,94,0.088,22.67,4.3,55,0
10,58,8,18,2,5,719.4,0,88,0.007,22.13,4.8,75,0
36,134,13,2,3,12,718.5,0,71,0.656000018,28.29,9.1,107,0
9,72,27,7,2,0,719.3,0,83,0.002,24.76,6.1,71,0
6,69,27,20,4,7,715.1,0,83,0.094,24.66,3.1,326,0
6,84,34,8,6,5,715.4,0,93,0,23.29,7.8,78,0
31,74,12,12,6,13,718.8,0,74,0.719,26.88,14.6,109,0
15,65,22,6,5,0,719.7,0,83,0.017999999,20.64,6.5,88,0
33,57,15,7,5,22,719.7,0,62,0,20.23,7.6,106,0
22,71,23,14,5,11,719.7,0,81,0.136,15.46,11.4,353,0
51,66,25,11,3,17,712.8,0,37,0.276,34.87,11,123,0
5,67,17,9,4,4,716.8,0,66,0,13.17,4.4,310,0
14,66,34,0,6,3,715.5,0,91,0,24.13,10.3,86,0
6,94,21,3,2,5,716.4,0,96,0,19.53,3.3,101,0
20,52,15,10,1,21,717.8,0,56,0,29.04,6.7,61,0
19,95,20,12,6,21,724.4,0,33,0,20.41,8.4,119,0
25,42,19,3,2,14,718.2,0,82,0.061,17.7,2.2,42,0
39,32,13,17,5,2,720.2,0,57,0,17.18,3,91,0
11,119,16,45,5,19,724.2,0,61,0,21.07,7.4,92,0
